,customer_id,Cluster
3644,39279,Extended Household
13798,14833,Extended Household
13807,20914,Extended Household
13812,35577,Extended Household
13816,26208,Extended Household
13823,420,Extended Household
13828,4737,Extended Household
13832,36732,Extended Household
14484,39438,Extended Household
16189,26686,Extended Household
16193,13357,Extended Household
3212,4185,Extended Household
18712,30511,Extended Household
18713,12525,Extended Household
18736,26165,Extended Household
18737,18896,Extended Household
18741,9996,Extended Household
18743,39414,Extended Household
18745,34376,Extended Household
2789,39125,Extended Household
18751,22958,Extended Household
18757,30578,Extended Household
18768,20640,Extended Household
18769,12731,Extended Household
18795,7850,Extended Household
18796,36822,Extended Household
18800,31935,Extended Household
18804,35264,Extended Household
18754,16386,Extended Household
18826,1781,Extended Household
18710,21735,Extended Household
18709,12276,Extended Household
2808,12479,Extended Household
18627,18345,Extended Household
2806,12506,Extended Household
18640,2027,Extended Household
18642,19272,Extended Household
18644,999,Extended Household
18645,2845,Extended Household
2791,14513,Extended Household
18654,17254,Extended Household
2799,11530,Extended Household
18686,14692,Extended Household
18689,15557,Extended Household
18699,10690,Extended Household
18707,25854,Extended Household
2794,1432,Extended Household
18708,34530,Extended Household
18664,12470,Extended Household
18621,7716,Extended Household
18840,15477,Extended Household
18855,15633,Extended Household
18983,5956,Extended Household
2747,33546,Extended Household
18987,10652,Extended Household
18996,9645,Extended Household
18997,35,Extended Household
19004,31065,Extended Household
19011,29575,Extended Household
18974,33447,Extended Household
19020,39041,Extended Household
2739,39631,Extended Household
19022,6350,Extended Household
19029,11152,Extended Household
19033,7177,Extended Household
19039,25982,Extended Household
19070,2555,Extended Household
19071,22675,Extended Household
2740,3164,Extended Household
18850,37458,Extended Household
18968,27221,Extended Household
18954,28056,Extended Household
18859,1408,Extended Household
18872,38725,Extended Household
18877,25099,Extended Household
18878,34150,Extended Household
18904,30335,Extended Household
18909,22918,Extended Household
18910,4233,Extended Household
18956,39174,Extended Household
18912,24225,Extended Household
18925,26283,Extended Household
18929,39984,Extended Household
18930,23616,Extended Household
18933,37168,Extended Household
18937,26311,Extended Household
18941,7312,Extended Household
18946,39471,Extended Household
18919,39689,Extended Household
19092,39938,Extended Household
18593,10531,Extended Household
18586,33539,Extended Household
18279,12190,Extended Household
18286,36462,Extended Household
18288,9776,Extended Household
18295,30208,Extended Household
18308,2466,Extended Household
18334,34725,Extended Household
18335,14167,Extended Household
18277,14267,Extended Household
18340,39012,Extended Household
18343,19101,Extended Household
18347,26183,Extended Household
2857,16901,Extended Household
18362,28460,Extended Household
18367,37975,Extended Household
18379,28277,Extended Household
18381,2604,Extended Household
18341,33015,Extended Household
18388,13728,Extended Household
18276,37398,Extended Household
18270,16714,Extended Household
2888,39554,Extended Household
2887,25004,Extended Household
18204,11686,Extended Household
18207,27057,Extended Household
18210,34239,Extended Household
18216,19793,Extended Household
18221,13603,Extended Household
18273,27729,Extended Household
18223,12060,Extended Household
18229,12689,Extended Household
18247,24786,Extended Household
18249,15288,Extended Household
18251,25734,Extended Household
18263,11681,Extended Household
2874,4921,Extended Household
18266,27819,Extended Household
18227,5741,Extended Household
18590,8250,Extended Household
18391,36280,Extended Household
18400,11008,Extended Household
18509,38845,Extended Household
18513,36558,Extended Household
18514,12623,Extended Household
2825,7356,Extended Household
18522,14437,Extended Household
18527,6652,Extended Household
18536,6727,Extended Household
2829,24925,Extended Household
18539,39236,Extended Household
18541,15644,Extended Household
2818,31420,Extended Household
18546,25528,Extended Household
18551,16296,Extended Household
18557,7046,Extended Household
18566,18686,Extended Household
18574,14986,Extended Household
18540,3937,Extended Household
18399,8406,Extended Household
2830,6066,Extended Household
18498,3115,Extended Household
18426,6175,Extended Household
18439,31626,Extended Household
18457,4038,Extended Household
18459,16121,Extended Household
2844,12754,Extended Household
18462,21333,Extended Household
18463,30430,Extended Household
18504,25005,Extended Household
2841,9291,Extended Household
18466,12767,Extended Household
18467,9655,Extended Household
18472,30296,Extended Household
18475,15642,Extended Household
18485,22145,Extended Household
18491,36939,Extended Household
18497,5368,Extended Household
18464,24802,Extended Household
19111,30010,Extended Household
19120,12297,Extended Household
19122,17835,Extended Household
2627,31906,Extended Household
19589,15770,Extended Household
19594,2272,Extended Household
19614,18697,Extended Household
19622,16792,Extended Household
2622,27195,Extended Household
19637,1064,Extended Household
19580,17794,Extended Household
19638,10999,Extended Household
19657,13395,Extended Household
19658,19530,Extended Household
19661,37329,Extended Household
19662,7170,Extended Household
19678,24724,Extended Household
19681,17188,Extended Household
19689,13809,Extended Household
19645,2311,Extended Household
19690,213,Extended Household
19573,29086,Extended Household
2631,26233,Extended Household
2647,23562,Extended Household
19520,30923,Extended Household
2645,7109,Extended Household
19525,803,Extended Household
19534,25625,Extended Household
19536,18555,Extended Household
19537,12136,Extended Household
2630,24101,Extended Household
19545,29297,Extended Household
19548,1465,Extended Household
19549,16982,Extended Household
19553,2081,Extended Household
19559,33966,Extended Household
19562,39342,Extended Household
19567,16537,Extended Household
19570,17673,Extended Household
2639,18681,Extended Household
19518,33586,Extended Household
19694,25427,Extended Household
19718,4306,Extended Household
19797,15854,Extended Household
2586,8841,Extended Household
19801,39887,Extended Household
19819,29771,Extended Household
19826,39662,Extended Household
19830,28231,Extended Household
19834,761,Extended Household
19795,2463,Extended Household
19840,375,Extended Household
19847,5261,Extended Household
19852,32495,Extended Household
19853,31685,Extended Household
19867,21562,Extended Household
19868,28883,Extended Household
19884,28214,Extended Household
19901,31829,Extended Household
19845,30897,Extended Household
19698,10274,Extended Household
19783,6112,Extended Household
19773,17770,Extended Household
19728,34834,Extended Household
19731,15181,Extended Household
19732,30571,Extended Household
19740,10360,Extended Household
2603,5797,Extended Household
2602,30016,Extended Household
19743,16334,Extended Household
19780,6447,Extended Household
19757,8678,Extended Household
19764,13201,Extended Household
2597,7119,Extended Household
2596,1882,Extended Household
2595,12559,Extended Household
19766,22774,Extended Household
19771,28853,Extended Household
19772,9766,Extended Household
19762,11087,Extended Household
19515,34246,Extended Household
19514,5071,Extended Household
19512,14349,Extended Household
19185,11967,Extended Household
19190,22763,Extended Household
19192,3326,Extended Household
19193,1265,Extended Household
19197,14825,Extended Household
19211,24758,Extended Household
19248,8222,Extended Household
2709,7974,Extended Household
2701,36377,Extended Household
19252,7735,Extended Household
19254,5014,Extended Household
19257,14715,Extended Household
19261,20737,Extended Household
19275,26065,Extended Household
19280,28428,Extended Household
19281,19001,Extended Household
2700,26216,Extended Household
19282,17021,Extended Household
19177,21127,Extended Household
19171,22466,Extended Household
19124,28170,Extended Household
2727,32973,Extended Household
19129,27871,Extended Household
19133,5435,Extended Household
19142,15403,Extended Household
19154,33782,Extended Household
2722,36188,Extended Household
19174,10051,Extended Household
2721,18827,Extended Household
19157,29733,Extended Household
2718,5417,Extended Household
19166,6903,Extended Household
19168,9887,Extended Household
2715,37120,Extended Household
19170,5403,Extended Household
2713,12883,Extended Household
19156,32729,Extended Household
19286,10936,Extended Household
19288,25300,Extended Household
19297,16341,Extended Household
19415,30865,Extended Household
19421,37381,Extended Household
19436,35034,Extended Household
2664,25974,Extended Household
19438,6132,Extended Household
19453,39313,Extended Household
19460,37359,Extended Household
19410,25265,Extended Household
2660,19830,Extended Household
